猛,100
猛如虎,-50
猥琐,-100
猪杂,-100
王八,-50
珍惜,50
理性,50
瓜皮,-50
甜,50
甜美,100
生日快乐,100
生气,-50
甩锅,-50
畜生,-100
疯,-50
疯子,-50
疯狂,-50
疼,-50
痒痒,-50
痛,-50
登基,50
皮,-50
皮皮,50
皮皮虾,50
看不下去,-100
看不起,-50
真他妈,-50
真好玩,100
真实,-50
真帅,100
真帅帅,100
真鸡儿,-50
睿智,-50
瞎,-50
瞎说,-50
石乐志,-50
破,-50
破产,-50
碾压,50
神器,50
神奇,50
神秘,50
神经病,-100
禽兽,-100
秀,100
秀秀秀,100
种马,50
科技,-50
稳,100
稳得,50
窒息,100
笑,100
笑嘻嘻,100
笑声,50
笑话,-50
笨,-50
笨蛋,-100
算了吧,-50
精彩,50
精致,50
索然无味,50
紧张,-50
给力,100
绝望,-100
绝活,50
绿,-50
绿光,-50
绿绿,-50
美,100
美丽,50
美滋滋,100
美美,100
羡慕,50
翻车,-50
老实,50
老实人,-50
老阴,-100
耻辱,-100
聋,-50
肾虚,-50
背锅,-50
胡说八道,-100
脏,-50
脑残粉,-100
腊鸡,-100
膨胀,-100
自信,100
臭,-100
致敬,50
舒服,100
舔,-50
色,-50
色情,-50
艹,-50
节日快乐,50
草拟,-100
草泥马,-100
草粉,-50
药丸,50
菜,-100
菜菜,-100
菜鸡,-100
菜鸡互,-100
萌萌,100
蒂花,50
蓝瘦,-50
虐,50
蠢,-100
血亏,-100
表面,-50
装,50
装逼,-100
要凉,-100
要输,-50
警告,-50
认真,-50
讨厌,-50
讲文明,50
调戏,-50
谢谢,100
贪,-50
贱,-50
赏,50
赔,-100
赖皮,-50
赚,100
赞,100
赢,80
走开,-50
走远,-100
起立,100
起飞,100
超帅,100
躺,-50
转粉,100
输,-100
辣鸡,-100
过分,-50
过气,-50
退役,-50
退订,-50
退钱,-50
逗,100
逗我,-50
逗比,-50
逼数,-50
道歉,-100
酱油,-50
酸,-50
醉,-50
醒醒,-50
错,-50
闭嘴,-100
队霸,-50
阴,-50
降级,-50
随缘,-50
难,-50
难受,-50
难得,50
雷神,50
霸气,100
香,100
香菇,-50
香香,50
马屁精,-50
骂,-50
骂人,-100
骄傲,-50
骗,-50
骗人,-50
骗吃骗喝,-50
骗钱,-50
骚,50
骚气,50
骚话,-50
高兴,50
鬼才,50
鬼畜,-50
鬼鬼,50
麻痹,-100
黄色,-50
黑幕,-50
黑粉,-50
鼓励,50
龟儿子,-50
龟龟,50
